Date,Year,Month,Route,Count
2018-08-17,2018,Aug,Seawall 2nd Beach Pool,5567.0
2018-08-17,2018,Aug,Seawall at David Lam Park,4689.0
2018-08-17,2018,Aug,Seawall at HMS Discovery,5550.0
2018-08-17,2018,Aug,Seawall at Harbour Green Park,3380.0
2018-08-17,2018,Aug,Seawall at Science World,7398.0
2018-08-17,2018,Aug,Smithe at Expo,1173.0
2018-08-17,2018,Aug,Stephens at Point Grey,714.0
2018-08-17,2018,Aug,Union at Hawks,4314.0
2018-08-18,2018,Aug,Burrard at Cornwall,5400.0
2018-08-18,2018,Aug,Canada Line Bridge at West Kent,972.0
2018-08-18,2018,Aug,Comox at Thurlow,722.0
2018-08-18,2018,Aug,Dunsmuir Viaduct,1280.0
2018-08-18,2018,Aug,East 10th at Clark,1728.0
2018-08-18,2018,Aug,Hornby and Robson,1558.0
2018-08-18,2018,Aug,Lions Gate Bridge at Spirit Trail,2096.0
2018-08-18,2018,Aug,Ontario and 11th,1717.0
2018-08-18,2018,Aug,Point Grey at Stephens,2537.0
2018-08-18,2018,Aug,Point Grey at Volunteer Park,3101.0
2018-08-18,2018,Aug,Seawall 2nd Beach Pool,5869.0
2018-08-18,2018,Aug,Seawall at David Lam Park,4924.0
2018-08-18,2018,Aug,Seawall at HMS Discovery,6144.0
2018-08-18,2018,Aug,Seawall at Harbour Green Park,3374.0
2018-08-18,2018,Aug,Seawall at Science World,6479.0
2018-08-18,2018,Aug,Smithe at Expo,608.0
2018-08-18,2018,Aug,Stephens at Point Grey,711.0
2018-08-18,2018,Aug,Union at Hawks,4713.0
2018-08-19,2018,Aug,Burrard at Cornwall,4714.0
2018-08-19,2018,Aug,Canada Line Bridge at West Kent,806.0
2018-08-19,2018,Aug,Comox at Thurlow,711.0
2018-08-19,2018,Aug,Dunsmuir Viaduct,1030.0
2018-08-19,2018,Aug,East 10th at Clark,1461.0
2018-08-19,2018,Aug,Hornby and Robson,1363.0
2018-08-19,2018,Aug,Lions Gate Bridge at Spirit Trail,1773.0
2018-08-19,2018,Aug,Ontario and 11th,1392.0
2018-08-19,2018,Aug,Point Grey at Stephens,2249.0
2018-08-19,2018,Aug,Point Grey at Volunteer Park,2822.0
2018-08-19,2018,Aug,Seawall 2nd Beach Pool,6054.0
2018-08-19,2018,Aug,Seawall at David Lam Park,4749.0
2018-08-19,2018,Aug,Seawall at HMS Discovery,6142.0
2018-08-19,2018,Aug,Seawall at Harbour Green Park,3279.0
2018-08-19,2018,Aug,Seawall at Science World,5585.0
2018-08-19,2018,Aug,Smithe at Expo,484.0
2018-08-19,2018,Aug,Stephens at Point Grey,632.0
2018-08-19,2018,Aug,Union at Hawks,2370.0
2018-08-20,2018,Aug,Burrard at Cornwall,5135.0
2018-08-20,2018,Aug,Canada Line Bridge at West Kent,571.0
2018-08-20,2018,Aug,Comox at Thurlow,847.0
2018-08-20,2018,Aug,Dunsmuir Viaduct,2449.0
2018-08-20,2018,Aug,East 10th at Clark,1961.0
2018-08-20,2018,Aug,Hornby and Robson,2482.0
2018-08-20,2018,Aug,Lions Gate Bridge at Spirit Trail,1396.0
2018-08-20,2018,Aug,Ontario and 11th,1771.0
2018-08-20,2018,Aug,Point Grey at Stephens,1671.0
2018-08-20,2018,Aug,Point Grey at Volunteer Park,2096.0
2018-08-20,2018,Aug,Seawall 2nd Beach Pool,3886.0
2018-08-20,2018,Aug,Seawall at David Lam Park,3044.0
2018-08-20,2018,Aug,Seawall at HMS Discovery,4073.0
2018-08-20,2018,Aug,Seawall at Harbour Green Park,2430.0
2018-08-20,2018,Aug,Seawall at Science World,5964.0
2018-08-20,2018,Aug,Smithe at Expo,1116.0
2018-08-20,2018,Aug,Stephens at Point Grey,557.0
2018-08-20,2018,Aug,Union at Hawks,3701.0
2018-08-21,2018,Aug,Burrard at Cornwall,5786.0
2018-08-21,2018,Aug,Canada Line Bridge at West Kent,564.0
2018-08-21,2018,Aug,Comox at Thurlow,895.0
2018-08-21,2018,Aug,Dunsmuir Viaduct,2628.0
2018-08-21,2018,Aug,East 10th at Clark,2051.0
2018-08-21,2018,Aug,Hornby and Robson,2722.0
2018-08-21,2018,Aug,Lions Gate Bridge at Spirit Trail,1731.0
2018-08-21,2018,Aug,Ontario and 11th,1911.0
2018-08-21,2018,Aug,Point Grey at Stephens,1979.0
2018-08-21,2018,Aug,Point Grey at Volunteer Park,2530.0
2018-08-21,2018,Aug,Seawall 2nd Beach Pool,4175.0
2018-08-21,2018,Aug,Seawall at David Lam Park,3466.0
2018-08-21,2018,Aug,Seawall at HMS Discovery,4013.0
2018-08-21,2018,Aug,Seawall at Harbour Green Park,2498.0
2018-08-21,2018,Aug,Seawall at Science World,6233.0
2018-08-21,2018,Aug,Smithe at Expo,1406.0
2018-08-21,2018,Aug,Stephens at Point Grey,626.0
2018-08-21,2018,Aug,Union at Hawks,3844.0
2018-08-22,2018,Aug,Burrard at Cornwall,5464.0
2018-08-22,2018,Aug,Canada Line Bridge at West Kent,561.0
2018-08-22,2018,Aug,Comox at Thurlow,915.0
2018-08-22,2018,Aug,Dunsmuir Viaduct,2636.0
2018-08-22,2018,Aug,East 10th at Clark,2037.0
2018-08-22,2018,Aug,Hornby and Robson,2624.0
2018-08-22,2018,Aug,Lions Gate Bridge at Spirit Trail,1617.0
2018-08-22,2018,Aug,Ontario and 11th,1896.0
2018-08-22,2018,Aug,Point Grey at Stephens,1681.0
2018-08-22,2018,Aug,Point Grey at Volunteer Park,2144.0
2018-08-22,2018,Aug,Seawall 2nd Beach Pool,3471.0
2018-08-22,2018,Aug,Seawall at David Lam Park,2847.0
2018-08-22,2018,Aug,Seawall at HMS Discovery,3611.0
2018-08-22,2018,Aug,Seawall at Harbour Green Park,2288.0
2018-08-22,2018,Aug,Seawall at Science World,5978.0
2018-08-22,2018,Aug,Smithe at Expo,1192.0
2018-08-22,2018,Aug,Stephens at Point Grey,618.0
2018-08-22,2018,Aug,Union at Hawks,3823.0
2018-08-23,2018,Aug,Burrard at Cornwall,4833.0
2018-08-23,2018,Aug,Canada Line Bridge at West Kent,565.0
2018-08-23,2018,Aug,Comox at Thurlow,867.0
2018-08-23,2018,Aug,Dunsmuir Viaduct,2401.0
2018-08-23,2018,Aug,East 10th at Clark,1831.0
2018-08-23,2018,Aug,Hornby and Robson,2446.0
2018-08-23,2018,Aug,Lions Gate Bridge at Spirit Trail,1375.0
2018-08-23,2018,Aug,Ontario and 11th,1702.0
2018-08-23,2018,Aug,Point Grey at Stephens,1315.0
2018-08-23,2018,Aug,Point Grey at Volunteer Park,1796.0
2018-08-23,2018,Aug,Seawall 2nd Beach Pool,2640.0
2018-08-23,2018,Aug,Seawall at David Lam Park,2416.0
2018-08-23,2018,Aug,Seawall at HMS Discovery,2767.0
2018-08-23,2018,Aug,Seawall at Harbour Green Park,1862.0
2018-08-23,2018,Aug,Seawall at Science World,5242.0
2018-08-23,2018,Aug,Smithe at Expo,1085.0
2018-08-23,2018,Aug,Stephens at Point Grey,583.0
2018-08-23,2018,Aug,Union at Hawks,3442.0
2018-08-24,2018,Aug,Burrard at Cornwall,5350.0
2018-08-24,2018,Aug,Canada Line Bridge at West Kent,642.0
2018-08-24,2018,Aug,Comox at Thurlow,867.0
2018-08-24,2018,Aug,Dunsmuir Viaduct,2266.0
2018-08-24,2018,Aug,East 10th at Clark,1895.0
2018-08-24,2018,Aug,Hornby and Robson,2488.0
2018-08-24,2018,Aug,Lions Gate Bridge at Spirit Trail,1625.0
2018-08-24,2018,Aug,Ontario and 11th,1818.0
2018-08-24,2018,Aug,Point Grey at Stephens,1924.0
2018-08-24,2018,Aug,Point Grey at Volunteer Park,2399.0
2018-08-24,2018,Aug,Seawall 2nd Beach Pool,4365.0
2018-08-24,2018,Aug,Seawall at David Lam Park,3476.0
2018-08-24,2018,Aug,Seawall at HMS Discovery,4380.0
2018-08-24,2018,Aug,Seawall at Harbour Green Park,2657.0
2018-08-24,2018,Aug,Seawall at Science World,6198.0
2018-08-24,2018,Aug,Smithe at Expo,1046.0
2018-08-24,2018,Aug,Stephens at Point Grey,641.0
2018-08-24,2018,Aug,Union at Hawks,3635.0
2018-08-25,2018,Aug,Burrard at Cornwall,1794.0
2018-08-25,2018,Aug,Canada Line Bridge at West Kent,303.0
2018-08-25,2018,Aug,Comox at Thurlow,314.0
2018-08-25,2018,Aug,Dunsmuir Viaduct,576.0
2018-08-25,2018,Aug,East 10th at Clark,719.0
2018-08-25,2018,Aug,Hornby and Robson,712.0
2018-08-25,2018,Aug,Lions Gate Bridge at Spirit Trail,595.0
2018-08-25,2018,Aug,Ontario and 11th,604.0
2018-08-25,2018,Aug,Point Grey at Stephens,537.0
2018-08-25,2018,Aug,Point Grey at Volunteer Park,689.0
2018-08-25,2018,Aug,Seawall 2nd Beach Pool,1138.0
2018-08-25,2018,Aug,Seawall at David Lam Park,936.0
2018-08-25,2018,Aug,Seawall at HMS Discovery,1217.0
2018-08-25,2018,Aug,Seawall at Harbour Green Park,656.0
2018-08-25,2018,Aug,Seawall at Science World,1801.0
2018-08-25,2018,Aug,Smithe at Expo,630.0
2018-08-25,2018,Aug,Stephens at Point Grey,176.0
2018-08-25,2018,Aug,Union at Hawks,1137.0
2018-08-26,2018,Aug,Burrard at Cornwall,3202.0
2018-08-26,2018,Aug,Canada Line Bridge at West Kent,443.0
2018-08-26,2018,Aug,Comox at Thurlow,553.0
2018-08-26,2018,Aug,Dunsmuir Viaduct,764.0
2018-08-26,2018,Aug,East 10th at Clark,973.0
